sample,plot_id,Sample_code,quality,quality_score,DNA,OM,ENR,M3_P,K ,Mg ,Ca,pH,Buffer_Index,Acidity_H_meq100g,CEC ,percentK,percentMg,percentCa,percentH,Moisture,Textural_Class,PercentSand,PercentSilt,PercentClay,x16S,Latitude,Longitude,Ownership_Type,Avg_TreeCondition,DomSpecies,Impervious,Human_Impact,TreeAgeClass_SizeDistribution,TreeEstablishment_Maintenance,Tree_Structure_Health,Invasive_Plants,Forestpests_diseases,Deer_browse,Impact,Species_of_pestimpact,poor_tree_care,Ash_trees,Ecosystem_management,Deer_browse_line
1,17,1-H-17,1high,69.5,21.3,3.2,112,4,50,43,117,5.2,6.87,0.6,1.7,0.75,21.1,34.4,35.3,1.7,sandy loam,60.8,22.5,16.5,7.48E+09,38.720871,-77.3696518,Public,3.666666667,Quercus,9,9,9,9,9,9,7,7,0,Defoliators,0.5,0.5,0,0.5
2,1173,2-H-1173,1high,72,16.1,3.4,115,9,28,30,99,4.6,6.83,1,1.8,4,13.9,27.5,55.6,5.18,silt loam,34.8,54.5,10.5,6.36E+09,38.71671611,-77.0900186,Private,4.583333333,Quercus,10,7,8,9,8,10,9,9,0.5,N/A,0.5,0.5,0,0.5
3,43,3-H-43,1high,69.5,37,4.1,125,5,58,123,330,4.9,6.71,2.2,5,3,20.5,33,44,4.3,silt loam ,40.8,50.5,8.5,7.43E+10,38.7629852,-77.4092102,Public,4.09375,Liriodendron,9,8,7,9,9,8,9,9,0,Defoliators,0.5,0.5,0,0.5
4,10,4-H-10,1high,73.5,28.4,6.6,150,8,38,37,91,4.4,6.79,1.4,2.3,4.2,13.4,19.8,60.9,4.61,loam,48.8,38.5,12.5,4.45E+10,38.6689911,-77.1669159,Public,3.631578947,Quercus,9,9,9,9,9,9,9,9,0,N/A,0.5,0.5,0,0.5
5,58,5-H-58,1high,71.5,36.5,6.1,150,9,85,90,311,5.4,6.83,1,3.5,6.2,21.4,44.4,28.6,6.21,sandy loam,62.8,34.5,2.5,2.65E+11,38.7785187,-77.416069,Public,3.555555556,Liriodendron,9,9,8,9,9,8,9,9,0,"Defoliators, Canker worm/ Gypsy moth?",0.5,0.5,0,0.5
6,31,6-H-31,1high,69.5,33.2,2.8,103,6,59,44,155,4.8,6.82,1.1,2.4,6.3,15.3,32.3,45.8,1.68,sandy loam,60.8,34.5,4.5,6.33E+10,38.727253,-77.3323593,Public,3.64516129,Quercus,10,10,9,8,7,10,8,6,0,"Defoliators, Disease/Cankers, Borers",0.5,0.5,0,0.5
7,15,7-H-15,1high,71,24.2,3.8,119,20,61,68,320,4.6,6.65,2.8,5.1,3.1,11.1,31.4,54.9,2.98,sandy loam,68.8,26.5,4.5,3.64E+10,38.6768341,-77.1703491,Public,3,Quercus,9,9,8,9,9,9,9,7,0.5,N/A,0.5,0.5,0,0.5
8,183,8-H-183,1high,74,31.3,6,150,8.25,61,55,259,5.1,6.82,1.1,3,5.2,15.3,43.2,36.7,4.92,silt loam,35,55,10,5.30E+10,38.972065,-77.2295609,Private,4.2,Liriodendron,9,9,9,9,9,9,9,9,0.5,N/A,0.5,0.5,0,0.5
9,164,9-H-164,1high,71.5,33.3,4.1,128,6,59,61,217,4.9,6.79,1.4,3.1,4.9,16.4,35,45.2,11.5,loam,40.8,46.5,12.5,8.95E+10,38.9400749,-77.4093857,Public,4.117647059,Quercus,9,9,9,8,8,8,9,10,0,Borers,0.5,0.5,0,0.5
10,98,10-H-98,1high,70.5,22.5,2.4,115,5,33,37,19,4.7,6.83,1,2,4.2,15.4,29.8,50,1.07,sandy loam,54.8,36.5,8.5,5.95E+10,38.8243599,-77.3537979,Public,3.617647059,Quercus,10,9,6,9,9,8.5,9,8,0.5,N/A,0.5,0.5,0,0.5
11,35,11-M-35,2mid,67.5,22.2,2.6,96,10,35,63,538,5.6,6.83,1,4.3,2.1,12.2,62.6,23.3,2.83,sandy loam ,60.8,32.5,6.5,4.58E+10,38.7339134,-77.2456207,Public,4.238095238,Carya,9,9,8,9,8,7,7,9,0,Defoliators and Borers,0.5,0.5,0,0.5
12,37,12-M-37,2mid,58.5,17.9,2.5,95,9,103,64,228,4.7,6.74,1.9,3.8,7,14,30,50,0.93,loamy sand,74.8,22.5,2.5,4.39E+10,38.7380714,-77.1981201,Public,3.64516129,Quercus,9,7,7,7,6,3,9,9,0.5,N/A,0,0.5,0,0.5
13,108,13-M-108,2mid,62,18.1,2.9,105,5,40,56,121,4.8,6.83,1,2.2,4.7,21.2,27.5,45.5,1.92,silt loam,28.8,52.5,18.5,4.51E+10,38.8601646,-77.5042191,Public,3.282051282,Quercus,10,10,6,9,7,6,6,7,0,Borers-EAB,0.5,0.5,0,0
14,644,14-M-644,2mid,63.5,15.3,6,150,29,36,28,85,4.3,6.78,1.5,2.3,4,10.1,18.5,65.2,6.14,loam,38.8,46.5,14.5,3.92E+10,38.71581886,-77.09569295,Private,3.769230769,Quercus,9,7,7,8,8,8,7,8,0,"Aphids, Defoliators, Disease/Cankers",0.5,0.5,0,0.5
15,142,15-M-142,2mid,61.5,17.8,3.7,118,12,37,67,337,4.8,6.73,2,4.3,2.2,13,39.2,46.5,3.15,sandy loam,60.8,30.5,8.5,3.41E+10,38.9109879,-77.393837,Private,2.733333333,Acer,10,9,5,9,7,6,5,9,0,Borers- EAB,0.5,0.5,0,0.5
16,1167,16-M-1167,2mid,54.5,13.8,4,124,12,33,76,403,5.3,6.81,1.2,3.9,2.2,16.2,51.7,30.8,26.36,silt loam,32.8,55.2,11.9,2.94E+10,38.95666694,-77.29269253,Private,4.260869565,Acer,7,9,7,5,7,0,9,9,0,Unknown defoliators,0.5,0.5,0,0.5
17,157,17-M-157,2mid,52.5,16.4,3.5,114,10,46,84,516,5.8,6.85,0.8,4.2,2.8,16.7,61.4,19,11.32,loam,49.7,41.9,8.3,2.79E+10,38.9273529,-77.2886658,Public,3.5,Platanus,9,7,7,7,6,1,7,7,0,Defoliators,0.5,0.5,0,0.5
18,1134,18-M-1134,2mid,64,29.4,3.9,125,10,33,27,99,4.4,6.8,1.3,2.1,4,10.7,23.6,61.9,1.91,loamy sand,76.8,20.5,2.5,2.87E+10,38.70998046,-77.09551829,Private,3.65,Quercus,9,9,7,8,9,8,8,5,0,"defoliators, fall webworm",0.5,0.5,0,0
19,107,19-L-107,3low,47.5,60,5,146,12,52,41,174,4.8,6.81,1.2,2.5,5.3,13.7,34.8,48,2.26,silt loam,34.8,56.5,8.5,6.15E+10,38.8625565,-77.5110092,Public,2.606557377,Quercus,10,10,3,7,3,7,4,3,0,Borers-EAB,0.5,0,0,0
20,90,20-L-90,3low,41.5,24.6,2.4,85,15,68,266,1255,6.7,6.89,0.4,9.1,1.9,24.4,69,4.4,7.08,sandy loam,66.8,30.5,2.5,2.29E+10,38.793602,-77.0596237,Public,3.333333333,Platanus,7,3,4,5,4,1,7,9,0,EAB,0.5,0.5,0,0.5
21,53,21-L-53,3low,42.5,57,3.5,111,22,94,117,615,5.3,6.74,1.9,6.2,3.9,15.7,49.6,30.6,1.48,sandy loam,66.8,24.5,8.5,8.47E+10,38.7613297,-77.1569595,Public,3,Acer,5,6,2,3,3,2,10,10,0.5,N/A,0,0.5,0,0.5
22,92,22-L-92,3low,39,13.1,3.7,120,18,52,32,236,4.8,6.79,1.4,3,4.4,8.9,39.3,46.7,1.66,silt loam,36.8,54.5,8.5,1.21E+10,38.8408051,-77.5042572,Public,4,Liriodendron,9,9,2,4,1,0,9,4,0,Defoliators- Bag worm,0,0.5,0,0.5
23,242,23-L-242,3low,41.5,21.9,5.6,150,25,127,105,310,4.8,6.69,2.4,5.2,6.3,16.8,29.8,46.2,8.68,loam,50.8,40.5,8.5,1.86E+10,38.9184799,-77.2975235,Private,4.37037037,Liriodendron,7,4,5,5,6,3,5,5,0,Defoliators and borers,0.5,0.5,0,0.5
24,12,24-L-12,3low,39.5,31.7,2.2,85,7,64,104,831,5.7,6.79,1.4,6.6,2.5,13.1,63,21.2,0.83,sandy loam,70.8,20.5,8.5,3.02E+10,38.683445,-77.2424698,Public,3,Liriodendron,5,3,3,4,4,3,9,7,0.5,N/A,0,0.5,0,0.5
25,50,25-L-50,3low,42.5,29.8,2.5,93,21,90,109,409,5.1,6.74,1.9,5.1,4.5,17.8,40.1,37.3,1.37,sandy loam,58.8,34.5,6.5,3.39E+10,38.752758,-77.2475891,Public,4.571428571,Acer,3,2,4,4,7,1,10,10,0.5,N/A,0,0.5,0,0.5
26,200,26-L-200,3low,41,39.1,3.5,114,9,45,97,477,5.6,6.83,1,4.3,2.7,18.8,55.5,23.3,5.03,silt loam,33.7,51.9,14.2,3.39E+10,39.0441093,-77.2945709,Public,3.538461538,Acer,10,7,5,4,6,2,6,0,0,Lots of dead elm trees with lack of disease/pest evidence,0.5,0.5,0,0